CRIM,ZN,INDUS,CHAS,RM,AGE,TAX,B,LSTAT,MEDV
11.9511,0,18.1,0,5.608,100,666,12.13,27.9,332.09
7.40389,0,18.1,0,5.617,97.9,666,26.4,17.2,314.64
14.4383,0,18.1,0,6.852,100,666,19.78,27.5,179.36
28.6558,0,18.1,0,5.155,100,666,20.08,16.3,210.97
25.9406,0,18.1,0,5.304,89.1,666,26.64,10.4,127.36
11.0874,0,18.1,0,6.411,100,666,15.02,16.7,318.75
7.02259,0,18.1,0,6.006,95.3,666,15.7,14.2,319.98
12.0482,0,18.1,0,5.648,87.6,666,14.1,20.8,291.55
5.58107,0,18.1,0,6.436,87.9,666,16.22,14.3,100.19
13.9134,0,18.1,0,6.208,95,666,15.17,11.7,100.63
11.1604,0,18.1,0,6.629,94.6,666,23.27,13.4,109.85
9.39063,0,18.1,0,5.627,93.9,666,22.88,12.8,396.9
22.0511,0,18.1,0,5.818,92.4,666,22.11,10.5,391.45
9.72418,0,18.1,0,6.406,97.2,666,19.52,17.1,385.96
5.66637,0,18.1,0,6.219,100,666,16.59,18.4,395.69
9.96654,0,18.1,0,6.485,100,666,18.85,15.4,386.73
12.8023,0,18.1,0,5.854,96.6,666,23.79,10.8,240.52
6.28807,0,18.1,0,6.341,96.4,666,17.79,14.9,318.01
9.92485,0,18.1,0,6.251,96.6,666,16.44,12.6,388.52
9.32909,0,18.1,0,6.185,98.7,666,18.13,14.1,396.9
7.52601,0,18.1,0,6.417,98.3,666,19.31,13,304.21
5.44114,0,18.1,0,6.655,98.2,666,17.73,15.2,355.29
5.09017,0,18.1,0,6.297,91.8,666,17.27,16.1,385.09
8.24809,0,18.1,0,7.393,99.3,666,16.74,17.8,375.87
7.75223,0,18.1,0,6.301,83.7,666,16.23,14.9,272.21
6.80117,0,18.1,0,6.081,84.4,666,14.7,20,396.9
4.81213,0,18.1,0,6.701,90,666,16.42,16.4,255.23
3.69311,0,18.1,0,6.376,88.4,666,14.65,17.7,391.43
6.65492,0,18.1,0,6.317,83,666,13.99,19.5,396.9
5.82115,0,18.1,0,6.513,89.9,666,10.29,20.2,393.82
7.83932,0,18.1,0,6.209,65.4,666,13.22,21.4,396.9
3.1636,0,18.1,0,5.759,48.2,666,14.13,19.9,334.4
4.42228,0,18.1,0,6.003,94.5,666,21.32,19.1,331.29
15.5757,0,18.1,0,5.926,71,666,18.13,19.1,368.74
13.0751,0,18.1,0,5.713,56.7,666,14.76,20.1,396.9
4.34879,0,18.1,0,6.167,84,666,16.29,19.9,396.9
4.03841,0,18.1,0,6.229,90.7,666,12.87,19.6,395.33
3.56868,0,18.1,0,6.437,75,666,14.36,23.2,393.37
4.64689,0,18.1,0,6.98,67.6,666,11.66,29.8,374.68
8.05579,0,18.1,0,5.427,95.4,666,18.14,13.8,352.58
6.39312,0,18.1,0,6.162,97.4,666,24.1,13.3,302.76
4.87141,0,18.1,0,6.484,93.6,666,18.68,16.7,396.21
15.0234,0,18.1,0,5.304,97.3,666,24.91,12,349.48
10.233,0,18.1,0,6.185,96.7,666,18.03,14.6,379.7
14.3337,0,18.1,0,6.229,88,666,13.11,21.4,383.32
5.82401,0,18.1,0,6.242,64.7,666,10.74,23,396.9
5.70818,0,18.1,0,6.75,74.9,666,7.74,23.7,393.07
5.73116,0,18.1,0,7.061,77,666,7.01,25,395.28
2.81838,0,18.1,0,5.762,40.3,666,10.42,21.8,392.92
2.37857,0,18.1,0,5.871,41.9,666,13.34,20.6,370.73
3.67367,0,18.1,0,6.312,51.9,666,10.58,21.2,388.62
5.69175,0,18.1,0,6.114,79.8,666,14.98,19.1,392.68
4.83567,0,18.1,0,5.905,53.2,666,11.45,20.6,388.22
0.15086,0,27.74,0,5.454,92.7,711,18.06,15.2,395.09
0.18337,0,27.74,0,5.414,98.3,711,23.97,7,344.05
0.20746,0,27.74,0,5.093,98,711,29.68,8.1,318.43
0.10574,0,27.74,0,5.983,98.8,711,18.07,13.6,390.11
0.11132,0,27.74,0,5.983,83.5,711,13.35,20.1,396.9
0.17331,0,9.69,0,5.707,54,391,12.01,21.8,396.9
0.27957,0,9.69,0,5.926,42.6,391,13.59,24.5,396.9
0.17899,0,9.69,0,5.67,28.8,391,17.6,23.1,393.29
0.2896,0,9.69,0,5.39,72.9,391,21.14,19.7,396.9
0.26838,0,9.69,0,5.794,70.6,391,14.1,18.3,396.9
0.23912,0,9.69,0,6.019,65.3,391,12.92,21.2,396.9
0.17783,0,9.69,0,5.569,73.5,391,15.1,17.5,395.77
0.22438,0,9.69,0,6.027,79.7,391,14.33,16.8,396.9
0.06263,0,11.93,0,6.593,69.1,273,9.67,22.4,391.99
0.04527,0,11.93,0,6.12,76.7,273,9.08,20.6,396.9
0.06076,0,11.93,0,6.976,91,273,5.64,23.9,396.9
0.10959,0,11.93,0,6.794,89.3,273,6.48,22,393.45
0.04741,0,11.93,0,6.03,80.8,273,7.88,11.9,396.9
